#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:m_cytB_mafft_nexus" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:m_cytB_mafft_nexus" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:m_cytB_mafft_nexus" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.m_cytB_mafft_nexus" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:m_cytB_mafft_nexus" name="distribution" x="@birthRate.t:m_cytB_mafft_nexus">
#            <Gamma id="Gamma.1" name="distr">
#                <parameter estimate="false" id="RealParameter.3" name="alpha" spec="beast.core.parameter.RealParameter">0.001</parameter>
#                <parameter estimate="false" id="RealParameter.4" name="beta" spec="beast.core.parameter.RealParameter">1000.0</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@m_cytB_mafft_nexus" id="treeLikelihood.m_cytB_mafft_nexus" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:m_cytB_mafft_nexus">
#            <siteModel id="SiteModel.s:m_cytB_mafft_nexus" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:m_cytB_mafft_nexus" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:m_cytB_mafft_nexus" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:m_cytB_mafft_nexus" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:m_cytB_mafft_nexus" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:m_cytB_mafft_nexus" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:m_cytB_mafft_nexus" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate
108000	-9961.537166471015	-9951.555328866209	-9.981837604806824	-9951.555328866209	1.5760988445957624	-2.7526199886386156	1.3689938551226428
109000	-9963.521578438023	-9954.098528652175	-9.42304978584856	-9954.098528652175	1.3170960282723376	-1.0844635211608207	4.144478318435091
110000	-9964.072612207905	-9954.759036104982	-9.313576102923284	-9954.759036104982	1.6482076329069228	-1.607573996891035	2.2045016299831675
111000	-9961.495842786877	-9952.45858011572	-9.037262671155862	-9952.45858011572	1.5387662617472462	-1.1952445069436735	2.5252312052451042
112000	-9969.759825355262	-9958.85204720246	-10.907778152802926	-9958.85204720246	1.6117801014820086	-2.6831561812354376	3.6993020732435142
113000	-9959.35586779889	-9950.78906070011	-8.566807098780266	-9950.78906070011	1.4750625266430648	-0.8241065075967864	2.286801926605244
114000	-9961.717774439107	-9954.278828552588	-7.4389458865198215	-9954.278828552588	1.2124374986600388	0.38465176390176836	2.479209452105104
115000	-9961.974290423352	-9952.625632794945	-9.348657628406015	-9952.625632794945	1.5575966866891267	-1.9010450318498266	1.7029386436192067
116000	-9964.02387237487	-9955.254940148025	-8.768932226845706	-9955.254940148025	1.4749040242970524	-1.172266214769527	1.976414296082515
117000	-9964.314850004359	-9957.377229063412	-6.9376209409473555	-9957.377229063412	1.1585998389226686	0.9359069840347596	2.6059391755735835
118000	-9967.73608148858	-9957.383515369382	-10.352566119198194	-9957.383515369382	1.8191552153462731	-2.6227430838891346	2.2575792446098513
119000	-9963.937734305755	-9955.4914906001	-8.446243705656133	-9955.4914906001	1.3747417118993723	-0.4323822807863147	2.9977885610229316
120000	-9966.852984758501	-9958.894332521768	-7.958652236733177	-9958.894332521768	1.3324326992085243	-0.3047658142061964	2.0926800129982905
121000	-9968.378626151038	-9962.122109490632	-6.256516660405002	-9962.122109490632	1.0333953108408427	1.7137885132244826	2.8702601649663997
122000	-9966.078648013754	-9957.551461231948	-8.527186781805979	-9957.551461231948	1.3839106772856513	-0.5371122936397619	2.9274581586506363
123000	-9970.36601055888	-9963.240006545224	-7.126004013657291	-9963.240006545224	1.1490322709942662	0.7877247042229012	2.7126536188745787
124000	-9965.368282672616	-9954.988225826126	-10.380056846490017	-9954.988225826126	1.3750986882302618	-1.9632250687795096	4.4806327199948175
125000	-9962.126950552738	-9952.691467030087	-9.435483522651097	-9952.691467030087	1.5479288790261825	-1.4126308163669439	3.0248094696392718
